year,date,raceId,mean_pit_ms,n_pit,n_missing
2011,2011-03-27,841,24100.333333333332,6,0
2011,2011-04-10,842,24671.14285714286,7,0
2011,2011-04-17,843,21641.75,4,0
2011,2011-05-08,844,22452.625,8,0
2011,2011-05-22,845,20968.14285714286,7,0
2011,2011-05-29,846,27783,3,0
2011,2011-06-12,847,24986.285714285714,7,0
2011,2011-06-26,848,21470.5,6,0
2011,2011-07-10,849,24223.333333333332,6,0
2011,2011-07-24,850,20478.666666666668,6,0
2011,2011-07-31,851,21649.625,8,0
2011,2011-08-28,852,21569,5,0
2011,2011-09-11,853,22124.25,4,0
2011,2011-09-25,854,30726,7,0
2011,2011-10-09,855,21137.333333333332,6,0
2011,2011-10-16,856,21584.75,4,0
2011,2011-10-30,857,21602.8,5,0
2011,2011-11-13,858,20507.75,4,0
2011,2011-11-27,859,20987.6,5,0
2012,2012-03-18,860,22177.8,5,0
2012,2012-03-25,861,24081.285714285714,7,0
2012,2012-04-15,862,20151.4,5,0
2012,2012-04-22,863,22701.333333333332,6,0
2012,2012-05-13,864,19331.714285714286,7,0
2012,2012-05-27,865,25106.5,2,0
2012,2012-06-10,866,21125.333333333332,3,0
2012,2012-06-24,867,23441.333333333332,6,0
2012,2012-07-08,868,25201.25,4,0
2012,2012-07-22,869,19475.6,5,0
2012,2012-07-29,870,19733,4,0
2012,2012-09-02,871,20677.5,2,0
2012,2012-09-09,872,21838,2,0
2012,2012-09-23,873,29912.6,5,0
2012,2012-10-07,874,20857,2,0
2012,2012-10-14,875,20370.5,4,0
2012,2012-10-28,876,20950,2,0
2012,2012-11-04,877,19476.5,2,0
2012,2012-11-18,878,22979.5,2,0
2012,2012-11-25,879,22339.5,6,0
2013,2013-03-17,880,21646,6,0
2013,2013-03-24,881,21642.25,4,0
2013,2013-04-14,882,20246.833333333332,6,0
2013,2013-04-21,883,22439.5,8,0
2013,2013-05-12,884,19255.125,8,0
2013,2013-05-26,885,24910,2,0
2013,2013-06-09,886,20498.25,4,0
2013,2013-06-30,887,26220.14285714286,7,0
2013,2013-07-07,888,19738,3,0
2013,2013-07-28,890,21996.333333333332,6,0
2013,2013-08-25,891,22645.25,4,0
2013,2013-09-08,892,24450,2,0
2013,2013-09-22,893,29272.2,5,0
2013,2013-10-06,894,22472.5,4,0
2013,2013-10-13,895,21824.6,5,0
2013,2013-10-27,896,24874.4,5,0
2013,2013-11-03,897,21695.75,4,0
2013,2013-11-17,898,23956.333333333332,3,0
2013,2013-11-24,899,21570.2,5,0
2014,2014-03-16,900,23058.25,4,0
2014,2014-03-30,901,24731.833333333332,6,0
2014,2014-04-06,902,24952.666666666668,6,0
2014,2014-04-20,903,23002,4,0
2014,2014-05-11,904,22086.2,5,0
2014,2014-05-25,905,27340.25,4,0
2014,2014-06-08,906,23967,4,0
2014,2014-06-22,907,21510.5,4,0
2014,2014-07-06,908,34410,1,0
2014,2014-07-20,909,19476.333333333332,6,0
2014,2014-07-27,910,22313.75,4,0
2014,2014-08-24,911,24392.75,4,0
2014,2014-09-07,912,24730,2,0
2014,2014-09-21,913,29295.5,6,0
2014,2014-10-05,914,396487.5,6,0
2014,2014-10-12,915,32604.5,2,0
2014,2014-11-02,916,24192.6,5,0
2014,2014-11-09,917,24170,5,0
2014,2014-11-23,918,21859.75,4,0
2015,2015-03-15,926,24188,3,0
2015,2015-03-29,927,25154,5,0
2015,2015-04-12,928,22550.75,4,0
2015,2015-04-19,929,26439.8,5,0
2015,2015-05-10,930,22002.5,4,0
2015,2015-05-24,931,24514,2,0
2015,2015-06-07,932,24848.5,4,0
2015,2015-06-21,933,31882,1,0
2015,2015-07-05,934,29634.2,5,0
2015,2015-07-26,936,23976.88888888889,9,0
2015,2015-08-23,937,22800.666666666668,3,0
2015,2015-09-06,938,24391,2,0
2015,2015-09-20,939,29791.25,4,0
2015,2015-09-27,940,23125.5,4,0
2015,2015-10-11,941,29376.5,2,0
2015,2015-10-25,942,26806.8,5,0
2015,2015-11-01,943,25113,2,0
2015,2015-11-15,944,23947.4,5,0
2015,2015-11-29,945,22799.5,4,0
2016,2016-03-20,948,449414.4,5,0
2016,2016-04-03,949,25066.333333333332,3,0
2016,2016-04-17,950,25333.833333333332,6,0
2016,2016-05-01,951,30498,1,0
2016,2016-05-15,952,22027.8,5,0
2016,2016-05-29,953,25337.5,2,0
2016,2016-06-12,954,22760.25,4,0
2016,2016-06-19,955,20507.5,2,0
2016,2016-07-03,956,20525.666666666668,3,0
2016,2016-07-10,957,30146,4,0
2016,2016-07-24,958,21745.75,4,0
2016,2016-07-31,959,19793.666666666668,6,0
2016,2016-08-28,960,302862.14285714284,7,0
2016,2016-09-04,961,24725,4,0
2016,2016-09-18,962,27808.714285714286,7,0
2016,2016-10-02,963,24601.666666666668,3,0
2016,2016-10-09,964,23029.75,4,0
2016,2016-10-23,965,24269.833333333332,6,0
2016,2016-10-30,966,22469,3,0
2016,2016-11-13,967,1174847,3,0
2016,2016-11-27,968,21907.25,4,0
2017,2017-03-26,969,22010.5,2,0
2017,2017-04-09,970,19968.11111111111,9,0
2017,2017-04-16,971,25325.5,4,0
2017,2017-04-30,972,30124.5,2,0
2017,2017-05-14,973,22403,2,0
2017,2017-05-28,974,24569.5,2,0
2017,2017-06-11,975,25550.25,4,0
2017,2017-06-25,976,376554.375,8,0
2017,2017-07-09,977,21706,2,0
2017,2017-07-16,978,30275,4,0
2017,2017-07-30,979,22118,2,0
2017,2017-08-27,980,24792.4,5,0
2017,2017-09-03,981,24837,2,0
2017,2017-10-01,983,23695,1,0
2017,2017-10-08,984,23699,1,0
2017,2017-10-22,985,23831.666666666668,3,0
2017,2017-10-29,986,25652,3,0
2017,2017-11-12,987,19551.5,8,0
2017,2017-11-26,988,21415,2,0
2018,2018-03-25,989,21604,2,0
2018,2018-04-08,990,24771,2,0
2018,2018-04-15,991,22961,2,0
2018,2018-04-29,992,23005.25,4,0
2018,2018-05-13,993,23163.5,2,0
2018,2018-05-27,994,24113.5,2,0
2018,2018-06-10,995,23587,2,0
2018,2018-06-24,996,29310,3,0
2018,2018-07-01,997,22732,2,0
2018,2018-07-08,998,31102.25,4,0
2018,2018-07-22,999,19430.666666666668,3,0
2018,2018-07-29,1000,23137,3,0
2018,2018-08-26,1001,25913.25,4,0
2018,2018-09-02,1002,26794,3,0
2018,2018-09-16,1003,29117.5,2,0
2018,2018-09-30,1004,29664.5,2,0
2018,2018-10-07,1005,22764.5,2,0
2018,2018-10-21,1006,24081.5,2,0
2018,2018-10-28,1007,22150.666666666668,3,0
2018,2018-11-11,1008,22666.666666666668,3,0
2018,2018-11-25,1009,22630,1,0
2019,2019-03-17,1010,22150.5,2,0
2019,2019-03-31,1011,26301.8,5,0
2019,2019-04-14,1012,23053.25,4,0
2019,2019-04-28,1013,20073.333333333332,3,0
2019,2019-05-12,1014,22668.25,4,0
2019,2019-05-26,1015,25384,3,0
2019,2019-06-09,1016,23757,2,0
2019,2019-06-23,1017,30238.333333333332,3,0
2019,2019-06-30,1018,23121.666666666668,3,0
2019,2019-07-14,1019,30848.75,4,0
2019,2019-07-28,1020,20817.75,8,0
2019,2019-08-04,1021,23197,2,0
2019,2019-09-01,1022,22699.333333333332,3,0
2019,2019-09-08,1023,28125.75,4,0
2019,2019-09-22,1024,29276,2,0
2019,2019-09-29,1025,29603,3,0
2019,2019-10-13,1026,24921.4,5,0
2019,2019-10-27,1027,23216.666666666668,3,0
2019,2019-11-03,1028,26500.5,2,0
2019,2019-11-17,1029,23046.25,4,0
2019,2019-12-01,1030,22650,4,0
2020,2020-07-05,1031,21295.833333333332,6,0
2020,2020-07-12,1032,39715,1,0
2020,2020-07-19,1033,23749,4,0
2020,2020-08-02,1034,29479.5,2,0
2020,2020-08-09,1035,28646,3,0
2020,2020-08-16,1036,22047,2,0
2020,2020-08-30,1037,26253.333333333332,3,0
2020,2020-09-06,1038,24344,1,0
2020,2020-09-13,1039,509004.9090909091,11,0
2020,2020-09-27,1040,29828,2,0
2020,2020-10-11,1041,23163.25,4,0
2020,2020-10-25,1042,26803,2,0
2020,2020-11-01,1043,33558,3,0
2020,2020-11-15,1044,24346.25,4,0
2020,2020-11-29,1045,401928.1666666667,6,0
2020,2020-12-06,1046,26368.333333333332,3,0
2020,2020-12-13,1047,22109,2,0
2021,2021-03-28,1052,24448.75,4,0
2021,2021-04-18,1053,813388.25,4,0
2021,2021-05-02,1054,23526.166666666668,6,0
2021,2021-05-09,1055,21885,4,0
2021,2021-05-23,1056,24150,1,0
2021,2021-06-06,1057,680896.5,6,0
2021,2021-06-20,1059,30900,3,0
2021,2021-06-27,1058,23845.333333333332,3,0
2021,2021-07-04,1060,21287,2,0
2021,2021-07-18,1061,1043198.75,4,0
2021,2021-08-01,1062,505754.6666666667,3,0
2021,2021-09-05,1064,19908.5,2,0
2021,2021-09-12,1065,24420,2,0
2021,2021-09-26,1066,31472.25,4,0
2021,2021-10-10,1067,25999.5,2,0
2021,2021-10-24,1069,24524,4,0
2021,2021-11-07,1070,22058,2,0
2021,2021-11-14,1071,20543,8,0
2021,2021-11-21,1051,25719,2,0
2021,2021-12-05,1072,843404,5,0
2021,2021-12-12,1073,21949,3,0
2022,2022-03-20,1074,24590.5,6,0
2022,2022-03-27,1075,21279.5,2,0
2022,2022-04-10,1076,17973,1,0
2022,2022-04-24,1077,32798.666666666664,3,0
2022,2022-05-08,1078,20880,2,0
2022,2022-05-22,1079,22076,4,0
2022,2022-05-29,1080,486005,5,0
2022,2022-06-12,1081,23212,1,0
2022,2022-06-19,1082,25098.333333333332,3,0
2022,2022-07-03,1083,1230785.2,5,0
2022,2022-07-10,1084,21441,5,0
2022,2022-07-24,1085,41875,2,0
2022,2022-07-31,1086,22313.4,5,0
2022,2022-08-28,1087,23202.8,5,0
2022,2022-09-04,1088,20301.428571428572,7,0
2022,2022-09-11,1089,23881.4,5,0
2022,2022-10-02,1091,31330.5,2,0
2022,2022-10-09,1092,207936,2,0
2022,2022-10-23,1093,24034.5,2,0
2022,2022-10-30,1094,22831,2,0
2022,2022-11-13,1095,24813.5,6,0
2022,2022-11-20,1096,21905,3,0
2023,2023-03-05,1098,24429,4,0
2023,2023-03-19,1099,20393,2,0
2023,2023-04-02,1100,922955.25,4,0
2023,2023-04-30,1101,21548,2,0
2023,2023-05-07,1102,22173,2,0
2023,2023-05-28,1104,25864.25,4,0
2023,2023-06-04,1105,22369.25,4,0
2023,2023-06-18,1106,24238,2,0
2023,2023-07-02,1107,22089,6,0
